Gridcode,BD,Sand,Clay,Silt,CRF
100423,1228.536,46.077,19.841,34.059,8.089
100424,1282.057,45.07,20.511,34.408,4.679
100425,1271.414,45.552,20.18,34.253,4.222
100426,1259.74,43.793,19.391,36.799,4.365
100427,1278.393,41.055,18.946,39.992,2.955
100428,1275.192,39.331,19.248,41.415,3.373
100429,1248.909,43.795,16.623,39.552,3.787
100430,1217.388,47.484,14.537,37.945,3.452
100431,1198.232,50.73,13.351,35.869,3.196
100432,1181.2,57.145,11.819,31.041,1.142
100433,1172.494,56.787,12.123,31.105,0.301
100434,1136.61,52.71,12.763,34.552,0.588
100435,1130.834,51.263,13.259,35.472,0.516
100436,1060.94,46.883,14.844,38.221,0.695
100437,880.483,47.222,17.293,35.486,13.468
100438,939.24,47.971,18.053,33.959,12.005
100439,1099.744,45.841,19.26,34.876,10.3
100440,1250.381,44.443,19.598,35.948,6.419
100441,1246.471,45.503,18.343,36.111,7.188
100442,1274.518,43.657,18.381,37.939,4.898
100443,1265.461,43.099,18.51,38.377,4.128
100444,1254.843,41.512,18.403,40.071,3.486
100445,1258.176,38.842,17.844,43.294,3.796
100446,1236.715,44.129,16.051,39.78,3.473
100447,1210.111,46.377,14.422,39.163,4.114
100448,1198.933,54.487,12.628,32.873,2.693
100449,1184.07,54.739,11.851,33.392,0.628
100450,1161.93,52.022,13.039,34.935,0.481
100451,1103.752,51.301,13.903,34.788,0.608
100452,1069.802,45.923,15.667,38.388,0.593
100453,918.251,48.41,15.163,36.405,1.031
100454,1169.27,33.461,20.642,45.865,11.601
100455,1098.155,35.47,20.854,43.647,13.735
100456,1125.166,31.939,22.449,45.587,9.949
100457,1109.19,28.854,25.101,46.067,9.434
100458,992.994,32.695,22.949,44.354,10.999
100459,918.518,41.618,19.03,39.328,11.716
100460,956.143,42.825,19.535,37.617,9.528
100461,1019.798,42.887,19.507,37.591,9.205
100462,1094.026,43.749,18.576,37.648,11.707
100463,1215.337,42.914,18.527,38.528,7.579
100464,1246.263,41.264,18.315,40.402,5.519
100465,1240.247,41.326,18.024,40.627,4.075
100466,1237.544,42.297,17.318,40.351,3.173
100467,1237.959,42.184,17.471,40.323,3.555
100468,1216.423,44.568,15.952,39.449,3.701
100469,1184.356,50.504,13.688,35.773,3.81
100470,1150.991,53.394,12.809,33.772,1.413
100471,1140.612,53.5,12.292,34.208,0.696
100472,966.752,39.301,18.793,41.89,16.753
100473,1007.954,37.974,18.991,43.025,15.64
100474,1015.585,35.021,21.164,43.814,13.344
100475,991.836,34.522,21.616,43.856,12.444
100476,957.962,34.355,21.811,43.821,11.75
100477,1005.873,33.77,21.561,44.646,10.135
100478,991.17,37.678,20.447,41.846,9.259
100479,982.929,42.435,19.011,38.55,11.319
100480,1189.822,40.449,19.632,39.931,8.896
100481,1221.785,40.555,19.293,40.132,6.958
100482,1228.395,41.365,19.221,39.403,5.065
100483,1228.36,41.552,18.405,40.014,4.066
100484,1210.681,41.353,17.34,41.275,4.325
100485,1212.306,43.68,16.132,40.159,4.443
100486,1185.089,46.851,14.472,38.623,4.314
100487,1146.066,52.34,13.075,34.555,2.258
100488,1104.48,52.905,12.307,34.801,1.698
100489,1120.644,56.559,11.932,31.528,0.926
100490,1045.757,37.387,18.369,44.2,16.78
100491,1009.683,37.69,18.366,43.916,21.923
100492,956.54,37.142,18.692,44.116,19.689
100493,929.685,36.903,19.346,43.738,15.493
100494,922.266,36.919,19.425,43.635,13.952
100495,988.77,33.334,21.19,45.438,11.589
100496,993.623,36.777,20.367,42.839,13.767
100497,1116.474,39.81,20.26,39.93,12.021
100498,1217.493,38.468,21.162,40.373,6.959
100499,1217.093,39.055,20.793,40.154,6.318
100500,1219.639,39.267,19.933,40.796,5.424
100501,1215.457,39.785,18.25,41.933,4.951
100502,1211.565,41.269,16.496,42.203,4.568
100503,1193.56,46.107,14.767,39.086,4.19
100504,1166.633,50.966,14.192,34.84,2.669
100505,1126.266,50.845,13.418,35.743,1.968
100506,1103.806,51.387,13.417,35.181,1.582
100507,968.017,60.941,10.896,28.13,1.714
100508,1079.649,37.488,17.877,44.625,26.652
100509,1023.633,35.283,18.515,46.178,23.672
100510,901.825,38.164,17.976,43.849,17.93
100511,933.402,35.058,19.338,45.57,13.107
100512,972.078,32.614,20.461,46.895,11.665
100513,905.521,36.966,19.295,43.716,15.957
100514,1030.608,34.885,21.629,43.491,12.703
100515,1031.962,40.29,19.681,40.053,15.274
100516,1152.833,39.928,19.791,40.286,10.18
100517,1167.733,38.842,19.852,41.302,7.325
100518,1184.84,39.062,17.846,43.066,5.844
100519,1195.32,40.586,16.613,42.764,4.542
100520,1194.982,43.585,16.091,40.282,4.155
100521,1164.566,50.196,14.351,35.439,2.724
100522,1144.185,48.55,13.89,37.526,2.495
100523,1101.247,50.315,12.466,37.211,2.04
100524,1096.022,36.118,18.247,45.625,24.67
100525,1006.702,37.586,18.255,44.183,26.487
100526,911.452,38.516,18.172,43.295,18.883
100527,887.594,36.202,19.23,44.555,15.759
100528,929.247,33.145,20.476,46.368,13.473
100529,883.779,35.618,18.864,45.494,15.599
100530,918.213,37.594,19.202,43.192,15.257
100531,983.086,35.851,20.695,43.454,13.091
100532,972.912,39.781,19.301,40.952,16.144
100533,1090.589,39.766,19.465,40.769,13.674
100534,1171.983,38.404,19.041,42.551,6.212
100535,1163.121,40.571,16.996,42.397,5.509
100536,1181.311,42.233,15.976,41.745,4.146
100537,1139.871,46.743,14.034,39.168,3.73
100538,1153.208,47.104,13.117,39.718,3.268
100539,1115.112,50.353,12.06,37.559,2.327
100540,1058.713,53.784,11.553,34.658,2.077
100541,974.297,64.678,9.745,25.494,1.191
100542,1165.473,32.653,18.252,49.115,13.746
100543,1156.677,33.616,18.234,48.153,16.696
100544,1095.17,34.672,18.499,46.838,22.491
100545,996.433,34.936,18.83,46.259,23.59
100546,870.133,35.128,18.914,45.964,14.997
100547,784.659,36.966,19.041,43.98,19.118
100548,787.396,36.404,19.42,44.144,16.852
100549,818.983,37.331,18.452,44.201,16.378
100550,886.413,38.86,18.429,42.699,13.772
100551,1063.226,31.709,22.37,45.865,9.932
100552,1100.663,35.566,20.959,43.462,12.63
100553,1155.778,38.172,20.213,41.618,7.882
100554,1149.463,38.285,17.574,44.102,6.274
100555,1147.19,40.148,16.284,43.506,5.071
100556,1133.012,45.518,14.644,39.785,4.274
100557,1147.955,43.839,14.59,41.504,3.145
100558,1132.968,46.349,13.134,40.469,2.516
100559,1082.334,63.146,8.418,28.396,0.628
100560,1043.718,65.048,8.867,26.03,1.726
100561,1172.496,30.504,18.765,50.782,9.81
100562,1161.569,29.91,19.135,51.019,11.021
100563,1148.296,32.327,19.338,48.355,12.931
100564,1082.326,32.346,19.073,48.619,17.407
100565,959.886,31.967,19.879,48.205,17.717
100566,844.455,35.051,19.902,45.041,18.375
100567,715.903,39.236,18.51,42.25,19.94
100568,755.78,37.155,19.205,43.608,17.551
100569,814.796,37.774,18.824,43.388,17.006
100570,924.887,36.922,19.201,43.837,13.903
100571,1136.035,31.312,22.288,46.351,10.018
100572,1011.971,38.387,19.466,42.134,16.074
100573,1174.993,35.881,18.651,45.427,6.295
100574,1147.109,38.849,16.89,44.208,5.436
100575,1136.828,42.145,16.526,41.294,5.104
100576,1121.193,43.391,14.533,42.036,3.149
100577,1119.596,46.748,12.578,40.627,2.698
100578,985.895,46.975,11.495,41.5,1.097
100579,1106.074,68.932,6.844,24.152,0.78
100580,1062.729,67.517,7.745,24.654,1.321
100581,1167.939,28.217,20.154,51.641,8.569
100582,1148.72,26.978,21.161,51.903,9
100583,1122.879,28.736,20.327,50.961,11.653
100584,1048.854,29.655,20.089,50.276,14.926
100585,955.624,30.207,20.701,49.14,17.209
100586,803.446,36.207,19.586,44.213,20.126
100587,731.24,37.212,19.105,43.655,19.174
