Species,threshold
Utricularia_juncea,0.245664568
Uvularia_grandiflora,0.261985136
Uvularia_perfoliata,0.41928478
Uvularia_puberula,0.295605857
Uvularia_sessilifolia,0.616651728
Verbascum_blattaria,0.697910012
Vigna_luteola,0.101235694
Viola_adunca,0.27896009
Viola_affinis,0.957379452
Viola_bicolor,0.495914192
Viola_brittoniana,0.174651393
Viola_canadensis,0.406532113
Viola_hastata,0.166645581
Viola_hirsutula,0.328376782
Viola_labradorica,0.666565578
Viola_lanceolata,0.659705889
Viola_nephrophylla,0.153089737
Viola_odorata,0.125331185
Viola_pedata,0.386909388
Viola_renifolia,0.328110373
Viola_rostrata,0.342271351
Viola_rotundifolia,0.534080348
Viola_selkirkii,0.310183696
Viola_septemloba,0.260411849
Viola_septentrionalis,0.361575869
Viola_striata,0.472763472
Viola_tricolor,0.318701026
Viola_triloba,0.135719212
Viola_tripartita,0.160331431
Viola_walteri,0.149966271
Ximenia_americana,0.172595375
Zephyranthes_atamasca,0.36672058
Zephyranthes_simpsonii,0.051358963
Zephyranthes_treatiae,0.181696146
