Species,threshold
Sisyrinchium_atlanticum,0.405651759
Sisyrinchium_fuscatum,0.2689887
Sisyrinchium_montanum,0.3547065
Sisyrinchium_mucronatum,0.4509325
Sisyrinchium_nashii,0.1976089
Sisyrinchium_rosulatum,0.2742659
Solanum_americanum,0.336889
Solanum_carolinense,0.818667
Solanum_dulcamara,0.6219389
Solanum_lycopersicum,0.2686011
Solanum_nigrum,0.3315992
Solanum_ptycanthum,0.6391081
Solanum_rostratum,0.3034312
Staphylea_trifolia,0.4701183
Stewartia_malacodendron,0.133746564
Stewartia_ovata,0.07530446
Styrax_americanus,0.3127644
Styrax_grandifolius,0.2068742
Tribulus_cistoides,0.054781169
Trientalis_borealis,0.2943806
Trillium_catesbaei,0.1638514
Trillium_cernuum,0.3394465
Trillium_cuneatum,0.1504716
Trillium_erectum,0.3852306
Trillium_grandiflorum,0.347295652
Trillium_maculatum,0.135630808
Trillium_rugelii,0.1087527
Trillium_undulatum,0.5355949
Trillium_vaseyi,0.01870781
Urena_lobata,0.125940045
Utricularia_cornuta,0.414859383
Utricularia_juncea,0.1937492
Uvularia_grandiflora,0.2399708
Uvularia_perfoliata,0.42159861
Uvularia_puberula,0.2920019
Uvularia_sessilifolia,0.6875419
Verbascum_blattaria,0.665415
Vigna_luteola,0.079688801
Viola_adunca,0.2903449
Viola_affinis,0.9331965
Viola_bicolor,0.476484601
Viola_brittoniana,0.189053
Viola_canadensis,0.394291901
Viola_hastata,0.1672351
Viola_hirsutula,0.3757165
Viola_labradorica,0.6512703
Viola_lanceolata,0.622604
Viola_nephrophylla,0.1321291
Viola_odorata,0.1444265
Viola_pedata,0.4082003
Viola_renifolia,0.343945
Viola_rostrata,0.3766567
Viola_rotundifolia,0.5431345
Viola_selkirkii,0.3593982
Viola_septemloba,0.245071043
Viola_septentrionalis,0.2798017
Viola_striata,0.4958159
Viola_tricolor,0.3625923
Viola_triloba,0.1459352
Viola_tripartita,0.1474675
Viola_walteri,0.1515253
Ximenia_americana,0.152705927
Zephyranthes_atamasca,0.3410154
Zephyranthes_simpsonii,0.05179693
Zephyranthes_treatiae,0.177727185
