Gridcode,longitude,latitude
100350,-78.831,34.929
100351,-78.472,34.929
100352,-78.113,34.929
100353,-77.753,34.929
100354,-77.394,34.929
100355,-77.044,34.922
100356,-76.682,34.908
100357,-83.86,35.222
100358,-83.503,35.223
100359,-83.143,35.223
100360,-82.784,35.223
100361,-82.425,35.223
100362,-82.065,35.223
100363,-81.706,35.223
100364,-81.347,35.223
100365,-80.987,35.223
100366,-80.628,35.223
100367,-80.269,35.223
100368,-79.909,35.223
100369,-79.55,35.223
100370,-79.191,35.223
100371,-78.831,35.223
100372,-78.472,35.223
100373,-78.113,35.223
100374,-77.753,35.223
100375,-77.394,35.223
100376,-77.035,35.224
100377,-76.701,35.222
100378,-83.489,35.484
100379,-83.143,35.516
100380,-82.784,35.516
100381,-82.425,35.516
100382,-82.065,35.516
100383,-81.706,35.516
100384,-81.347,35.516
100385,-80.987,35.516
100386,-80.628,35.516
100387,-80.269,35.516
100388,-79.909,35.516
100389,-79.55,35.516
100390,-79.191,35.516
100391,-78.831,35.516
100392,-78.472,35.516
100393,-78.113,35.516
100394,-77.753,35.516
100395,-77.394,35.516
100396,-77.04,35.519
100397,-76.684,35.538
100398,-76.31,35.521
100399,-76.006,35.558
100400,-82.772,35.8
100401,-82.425,35.808
100402,-82.065,35.808
100403,-81.706,35.808
100404,-81.347,35.808
100405,-80.987,35.808
100406,-80.628,35.808
100407,-80.269,35.808
100408,-79.909,35.808
100409,-79.55,35.808
100410,-79.191,35.808
100411,-78.831,35.808
100412,-78.472,35.808
100413,-78.113,35.808
100414,-77.753,35.808
100415,-77.394,35.808
100416,-77.035,35.808
100417,-76.677,35.804
100418,-76.316,35.807
100419,-75.946,35.804
100420,-82.048,36.064
100421,-81.706,36.099
100422,-81.347,36.099
100423,-80.987,36.099
100424,-80.628,36.099
100425,-80.269,36.099
100426,-79.909,36.099
100427,-79.55,36.099
100428,-79.191,36.099
100429,-78.831,36.099
100430,-78.472,36.099
100431,-78.113,36.099
100432,-77.753,36.099
100433,-77.394,36.099
100434,-77.035,36.099
100435,-76.684,36.115
100436,-76.329,36.141
100437,-81.662,36.365
100438,-81.347,36.388
100439,-80.987,36.388
100440,-80.628,36.388
100441,-80.269,36.388
100442,-79.909,36.388
100443,-79.55,36.388
100444,-79.191,36.388
100445,-78.831,36.388
100446,-78.472,36.388
100447,-78.113,36.388
100448,-77.753,36.388
100449,-77.394,36.388
100450,-77.035,36.388
100451,-76.675,36.39
100452,-76.319,36.39
100453,-76.001,36.379
100454,-83.117,36.688
100455,-82.784,36.708
100456,-82.425,36.708
100457,-82.063,36.713
100458,-81.691,36.697
100459,-81.347,36.677
100460,-80.989,36.677
100461,-80.628,36.677
100462,-80.269,36.677
100463,-79.911,36.677
100464,-79.562,36.686
100465,-79.187,36.68
100466,-78.831,36.677
100467,-78.472,36.677
100468,-78.113,36.677
100469,-77.753,36.677
100470,-77.392,36.677
100471,-77.046,36.682
100472,-82.738,36.936
100473,-82.424,36.965
100474,-82.065,36.965
100475,-81.706,36.965
100476,-81.347,36.965
100477,-80.987,36.965
100478,-80.628,36.964
100479,-80.269,36.965
100480,-79.909,36.965
100481,-79.55,36.965
100482,-79.191,36.965
100483,-78.831,36.965
100484,-78.472,36.965
100485,-78.113,36.965
100486,-77.753,36.965
100487,-77.394,36.965
100488,-77.035,36.965
100489,-76.713,36.958
100490,-82.394,37.187
100491,-82.063,37.249
100492,-81.706,37.251
100493,-81.347,37.251
100494,-80.987,37.251
100495,-80.63,37.254
100496,-80.269,37.251
100497,-79.898,37.247
100498,-79.55,37.251
100499,-79.191,37.244
100500,-78.831,37.251
100501,-78.472,37.251
100502,-78.113,37.251
100503,-77.753,37.251
100504,-77.397,37.253
100505,-77.04,37.252
100506,-76.683,37.274
100507,-75.903,37.272
100508,-82.014,37.551
100509,-81.706,37.537
100510,-81.347,37.537
100511,-80.987,37.537
100512,-80.628,37.537
100513,-80.269,37.537
100514,-79.909,37.537
100515,-79.55,37.537
100516,-79.19,37.545
100517,-78.831,37.537
100518,-78.472,37.537
100519,-78.113,37.537
100520,-77.754,37.537
100521,-77.38,37.538
100522,-77.035,37.537
100523,-76.681,37.533
100524,-82.065,37.821
100525,-81.706,37.821
100526,-81.347,37.821
100527,-80.987,37.821
100528,-80.628,37.821
100529,-80.269,37.821
100530,-79.908,37.822
100531,-79.551,37.822
100532,-79.188,37.823
100533,-78.831,37.821
100534,-78.472,37.821
100535,-78.113,37.821
100536,-77.753,37.821
100537,-77.394,37.821
100538,-77.036,37.82
100539,-76.675,37.825
100540,-76.391,37.825
100541,-75.608,37.829
100542,-82.409,38.115
100543,-82.065,38.105
100544,-81.706,38.105
100545,-81.347,38.105
100546,-80.987,38.105
100547,-80.628,38.105
100548,-80.269,38.105
100549,-79.909,38.105
100550,-79.55,38.105
100551,-79.198,38.102
100552,-78.829,38.106
100553,-78.472,38.106
100554,-78.113,38.105
100555,-77.753,38.105
100556,-77.394,38.105
100557,-77.045,38.099
100558,-76.681,38.076
100559,-75.596,38.106
100560,-75.304,38.122
100561,-82.398,38.35
100562,-82.065,38.387
100563,-81.706,38.387
100564,-81.347,38.387
100565,-80.987,38.387
100566,-80.628,38.387
100567,-80.269,38.387
100568,-79.909,38.387
100569,-79.55,38.387
100570,-79.191,38.387
100571,-78.829,38.384
100572,-78.472,38.387
100573,-78.113,38.387
100574,-77.753,38.387
100575,-77.405,38.386
100576,-77.04,38.398
100577,-76.671,38.389
100578,-75.952,38.401
100579,-75.598,38.387
100580,-75.247,38.392
100581,-82.046,38.666
100582,-81.706,38.668
100583,-81.347,38.668
100584,-80.987,38.668
100585,-80.628,38.668
100586,-80.269,38.668
100587,-79.909,38.668
100588,-79.55,38.668
100589,-79.191,38.668
100590,-78.831,38.668
100591,-78.472,38.668
100592,-78.113,38.668
100593,-77.753,38.668
100594,-77.399,38.669
100595,-77.03,38.668
100596,-76.691,38.666
100597,-75.952,38.67
100598,-75.598,38.668
100599,-75.246,38.663
100600,-81.678,38.938
100601,-81.347,38.948
100602,-80.987,38.948
100603,-80.628,38.948
100604,-80.269,38.948
100605,-79.909,38.948
100606,-79.55,38.948
100607,-79.191,38.948
100608,-78.831,38.948
100609,-78.472,38.948
100610,-78.113,38.948
100611,-77.753,38.948
100612,-77.396,38.949
100613,-77.036,38.963
100614,-76.677,38.949
100615,-75.957,38.948
100616,-75.598,38.948
100617,-81.346,39.225
100618,-80.987,39.227
100619,-80.628,39.227
100620,-80.269,39.227
100621,-79.909,39.227
100622,-79.55,39.227
100623,-79.191,39.227
100624,-78.831,39.227
100625,-78.472,39.227
100626,-78.111,39.228
100627,-77.753,39.227
100628,-77.394,39.227
100629,-77.035,39.227
100630,-76.701,39.205
100631,-75.956,39.226
100632,-75.603,39.222
100633,-74.858,39.246
100634,-80.953,39.476
100635,-80.628,39.505
100636,-80.269,39.505
100637,-79.909,39.505
100638,-79.55,39.505
100639,-79.191,39.505
100640,-78.831,39.505
100641,-78.472,39.505
100642,-78.113,39.505
100643,-77.753,39.505
100644,-77.394,39.505
100645,-77.035,39.505
100646,-76.676,39.506
100647,-76.32,39.51
100648,-75.932,39.516
100649,-75.612,39.509
100650,-75.238,39.505
100651,-74.879,39.505
100652,-74.523,39.507
100653,-80.627,39.78
100654,-80.269,39.781
100655,-79.909,39.781
100656,-79.55,39.781
100657,-79.191,39.781
100658,-78.831,39.781
100659,-78.472,39.781
100660,-78.113,39.781
100661,-77.753,39.781
100662,-77.394,39.781
100663,-77.035,39.781
100664,-76.675,39.781
100665,-76.316,39.781
100666,-75.957,39.781
100667,-75.603,39.785
100668,-75.238,39.781
100669,-74.879,39.781
100670,-74.52,39.781
100671,-74.222,39.791
100672,-80.589,40.051
100673,-80.269,40.057
100674,-79.909,40.057
100675,-79.55,40.057
100676,-79.191,40.057
100677,-78.831,40.057
100678,-78.472,40.057
100679,-78.113,40.057
100680,-77.753,40.057
100681,-77.394,40.057
100682,-77.035,40.057
100683,-76.675,40.057
100684,-76.316,40.057
100685,-75.957,40.057
100686,-75.598,40.057
100687,-75.238,40.057
100688,-74.879,40.057
100689,-74.52,40.057
100690,-74.191,40.062
100691,-80.269,40.331
