Species,Growth_Form,Status
Viola_labradorica,Herbaceous perennial,Native
Viola_lanceolata,Herbaceous perennial,Native
Viola_nephrophylla,Herbaceous perennial,Native
Viola_odorata,Herbaceous perennial,Introduced
Viola_pedata,Herbaceous perennial,Native
Viola_renifolia,Herbaceous perennial,Native
Viola_rostrata,Herbaceous perennial,Native
Viola_rotundifolia,Herbaceous perennial,Native
Viola_selkirkii,Herbaceous perennial,Native
Viola_septemloba,Herbaceous perennial,Native
Viola_septentrionalis,Herbaceous perennial,Native
Viola_striata,Herbaceous perennial,Native
Viola_tricolor,Herbaceous annual,Introduced
Viola_triloba,Herbaceous perennial,Native
Viola_tripartita,Herbaceous perennial,Native
Viola_walteri,Herbaceous perennial,Native
Ximenia_americana,Woody,Native
Zephyranthes_atamasca,Herbaceous perennial,Native
Zephyranthes_simpsonii,Herbaceous perennial,Native
Zephyranthes_treatiae,Herbaceous perennial,Native
